date,rate
2023-01-31,2.2000
2023-02-01,2.0500
2023-02-02,2.0500
2023-02-03,1.9000
2023-02-06,2.0300
2023-02-07,2.3000
2023-02-08,2.4500
2023-02-09,2.4000
2023-02-10,2.0800
2023-02-13,2.0000
2023-02-14,2.1300
2023-02-15,2.1000
2023-02-16,2.1300
2023-02-17,2.5000
2023-02-20,2.3000
2023-02-21,2.2007
2023-02-22,2.6500
2023-02-23,2.6000
2023-02-24,2.6000
2023-02-27,2.6500
2023-02-28,2.8500
2023-03-01,2.1200
2023-03-02,2.2000
2023-03-03,2.0000
2023-03-06,2.0000
2023-03-07,2.0000
2023-03-08,2.0000
2023-03-09,2.1000
2023-03-10,2.1000
2023-03-13,2.2000
2023-03-14,2.2000
2023-03-15,2.2500
2023-03-16,2.3000
2023-03-17,2.3000
2023-03-20,2.2500
2023-03-21,2.3500
2023-03-22,2.3000
2023-03-23,2.2000
2023-03-24,1.9000
2023-03-27,2.8500
2023-03-28,3.6000
2023-03-29,3.4900
2023-03-30,3.1000
2023-03-31,2.7000
2023-04-03,2.0200
2023-04-04,2.0000
2023-04-06,2.1500
2023-04-07,2.2000
2023-04-10,2.1000
2023-04-11,2.1500
2023-04-12,2.1000
2023-04-13,2.1000
2023-04-14,2.1000
2023-04-17,2.2000
2023-04-18,2.2500
2023-04-19,2.1500
2023-04-20,2.1500
2023-04-21,2.5000
2023-04-23,2.1000
2023-04-24,2.5500
2023-04-25,2.6000
2023-04-26,2.5000
2023-04-27,2.5000
2023-04-28,2.4000
2023-05-04,2.0145
2023-05-05,1.9500
2023-05-06,1.7500
2023-05-08,2.0000
2023-05-09,1.9300
2023-05-10,1.9000
2023-05-11,1.8500
2023-05-12,1.8500
2023-05-15,1.9000
2023-05-16,1.9500
2023-05-17,2.0000
2023-05-18,1.9500
2023-05-19,1.9100
2023-05-22,1.9000
2023-05-23,1.8500
2023-05-24,1.8000
2023-05-25,2.1000
2023-05-26,2.1500
2023-05-29,2.1500
2023-05-30,2.1500
2023-05-31,2.1000
2023-06-01,1.8500
2023-06-02,1.9000
2023-06-05,1.8500
2023-06-06,1.8000
2023-06-07,1.8400
2023-06-08,1.8000
2023-06-09,1.8500
2023-06-12,1.9000
2023-06-13,1.9500
2023-06-14,1.8500
2023-06-15,1.8500
2023-06-16,1.9500
2023-06-19,2.0900
2023-06-20,2.1000
2023-06-21,2.2000
2023-06-25,2.0000
2023-06-26,2.3500
2023-06-27,2.8000
2023-06-28,2.8500
2023-06-29,2.9000
2023-06-30,2.6000
2023-07-03,2.0000
2023-07-04,2.0000
2023-07-05,1.9500
2023-07-06,1.9000
2023-07-07,1.8800
2023-07-10,1.8600
2023-07-11,1.9000
2023-07-12,1.8500
2023-07-13,1.8500
2023-07-14,1.9000
2023-07-17,1.9500
